date,exchange,status,start_time,end_time,holiday_name
9/2/2002,NYSE,closed,,,Labor Day
9/11/2002,NASDAQ,short day,11:00,16:00,September 11 Anniversary
9/11/2002,NYSE,short day,12:00,16:00,September 11 Anniversary
9/13/2002,NYSE,economic,,,ppi
9/17/2002,NYSE,economic,,,cpi
9/20/2002,NYSE,economic,,,witching
9/24/2002,NYSE,economic,,,fomc
10/11/2002,NYSE,economic,,,ppi
10/16/2002,NYSE,economic,,,cpi
11/6/2002,NYSE,economic,,,fomc
11/14/2002,NYSE,economic,,,ppi
11/15/2002,NYSE,economic,,,cpi
11/28/2002,NYSE,closed,,,Thanksgiving Day
11/29/2002,NYSE,short day,9:30,13:00,Black Friday
12/10/2002,NYSE,economic,,,fomc
12/12/2002,NYSE,economic,,,ppi
12/17/2002,NYSE,economic,,,cpi
12/20/2002,NYSE,economic,,,witching
12/24/2002,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2002,NYSE,closed,,,Christmas Day
1/1/2003,NYSE,closed,,,New Year's Day
1/15/2003,NYSE,economic,,,ppi
1/16/2003,NYSE,economic,,,cpi
1/20/2003,NYSE,closed,,,Martin Luther King's Birthday
1/29/2003,NYSE,economic,,,fomc
2/17/2003,NYSE,closed,,,Washington's Birthday
2/19/2003,NYSE,economic,,,ppi
2/20/2003,NYSE,economic,,,cpi
3/18/2003,NYSE,economic,,,fomc|ppi
3/21/2003,NYSE,economic,,,cpi|witching
4/15/2003,NYSE,economic,,,ppi
4/16/2003,NYSE,economic,,,cpi
4/18/2003,NYSE,closed,,,Good Friday
5/6/2003,NYSE,economic,,,fomc
5/14/2003,NYSE,economic,,,ppi
5/15/2003,NYSE,economic,,,cpi
5/26/2003,NYSE,closed,,,Memorial Day
6/13/2003,NYSE,economic,,,ppi
6/17/2003,NYSE,economic,,,cpi
6/20/2003,NYSE,economic,,,witching
6/25/2003,NYSE,economic,,,fomc
7/3/2003,NYSE,short day,9:30,13:00,Independence Day
7/4/2003,NYSE,closed,,,Independence Day
7/15/2003,NYSE,economic,,,ppi
7/16/2003,NYSE,economic,,,cpi
8/12/2003,NYSE,economic,,,fomc
8/13/2003,NYSE,economic,,,ppi
8/14/2003,NYSE,economic,,,cpi
9/1/2003,NYSE,closed,,,Labor Day
9/12/2003,NYSE,economic,,,ppi
9/16/2003,NYSE,economic,,,fomc|cpi
9/19/2003,NYSE,economic,,,witching
10/14/2003,NYSE,economic,,,ppi
10/16/2003,NYSE,economic,,,cpi
10/28/2003,NYSE,economic,,,fomc
11/18/2003,NYSE,economic,,,ppi
11/19/2003,NYSE,economic,,,cpi
11/27/2003,NYSE,closed,,,Thanksgiving Day
11/28/2003,NYSE,short day,9:30,13:00,Black Friday
12/9/2003,NYSE,economic,,,fomc
12/11/2003,NYSE,economic,,,ppi
12/16/2003,NYSE,economic,,,cpi
12/19/2003,NYSE,economic,,,witching
12/24/2003,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2003,NYSE,closed,,,Christmas Day
12/26/2003,NYSE,short day,9:30,13:00,Christmas Hangover
1/1/2004,NYSE,closed,,,New Year's Day
1/15/2004,NYSE,economic,,,ppi
1/16/2004,NYSE,economic,,,cpi
1/19/2004,NYSE,closed,,,Martin Luther King's Birthday
1/28/2004,NYSE,economic,,,fomc
2/16/2004,NYSE,closed,,,Washington's Birthday
2/18/2004,NYSE,economic,,,ppi
2/19/2004,NYSE,economic,,,cpi
3/16/2004,NYSE,economic,,,fomc|ppi
3/17/2004,NYSE,economic,,,cpi
3/19/2004,NYSE,economic,,,witching
4/9/2004,NYSE,closed,,,Good Friday
4/13/2004,NYSE,economic,,,ppi
4/14/2004,NYSE,economic,,,cpi
5/4/2004,NYSE,economic,,,fomc
5/13/2004,NYSE,economic,,,ppi
5/14/2004,NYSE,economic,,,cpi
5/31/2004,NYSE,closed,,,Memorial Day
6/11/2004,NYSE,closed,,,Exchange Holiday
6/14/2004,NYSE,economic,,,ppi
6/15/2004,NYSE,economic,,,cpi
6/18/2004,NYSE,economic,,,witching
6/30/2004,NYSE,economic,,,fomc
7/5/2004,NYSE,closed,,,Independence Day Observed
7/13/2004,NYSE,economic,,,ppi
7/14/2004,NYSE,economic,,,cpi
8/10/2004,NYSE,economic,,,fomc
8/18/2004,NYSE,economic,,,ppi
8/19/2004,NYSE,economic,,,cpi
9/6/2004,NYSE,closed,,,Labor Day
9/15/2004,NYSE,economic,,,ppi
9/16/2004,NYSE,economic,,,cpi
9/17/2004,NYSE,economic,,,witching
9/21/2004,NYSE,economic,,,fomc
10/13/2004,NYSE,economic,,,ppi
10/14/2004,NYSE,economic,,,cpi
11/10/2004,NYSE,economic,,,fomc
11/16/2004,NYSE,economic,,,ppi
11/17/2004,NYSE,economic,,,cpi
11/25/2004,NYSE,closed,,,Thanksgiving Day
11/26/2004,NYSE,short day,9:30,13:00,Black Friday
12/14/2004,NYSE,economic,,,fomc|ppi
12/15/2004,NYSE,economic,,,cpi
12/17/2004,NYSE,economic,,,witching
12/24/2004,NYSE,closed,,,Christmas Day Observed
1/13/2005,NYSE,economic,,,ppi
1/14/2005,NYSE,economic,,,cpi
1/17/2005,NYSE,closed,,,Martin Luther King's Birthday
2/2/2005,NYSE,economic,,,fomc
2/16/2005,NYSE,economic,,,ppi
